Freq.	V(out_preamp)
1.58124803927037e+00	(-5.73327115811313e+00dB,-1.79992362267942e+02°)
1.58489319246110e+00	(-5.73327115767285e+00dB,-1.79992344661151e+02°)
1.58854674859776e+00	(-5.73327115723055e+00dB,-1.79992327013773e+02°)
1.59220872705115e+00	(-5.73327115678620e+00dB,-1.79992309325713e+02°)
1.59587914723672e+00	(-5.73327115633980e+00dB,-1.79992291596878e+02°)
1.59955802861465e+00	(-5.73327115589134e+00dB,-1.79992273827174e+02°)
1.60324539069002e+00	(-5.73327115544081e+00dB,-1.79992256016507e+02°)
1.60694125301286e+00	(-5.73327115498820e+00dB,-1.79992238164781e+02°)
1.61064563517825e+00	(-5.73327115453350e+00dB,-1.79992220271903e+02°)
1.61435855682647e+00	(-5.73327115407670e+00dB,-1.79992202337778e+02°)
1.61808003764305e+00	(-5.73327115361780e+00dB,-1.79992184362311e+02°)
1.62181009735891e+00	(-5.73327115315677e+00dB,-1.79992166345406e+02°)
1.62554875575047e+00	(-5.73327115269362e+00dB,-1.79992148286967e+02°)
1.62929603263970e+00	(-5.73327115222833e+00dB,-1.79992130186899e+02°)
1.63305194789432e+00	(-5.73327115176089e+00dB,-1.79992112045107e+02°)
1.63681652142779e+00	(-5.73327115129130e+00dB,-1.79992093861493e+02°)
1.64058977319952e+00	(-5.73327115081954e+00dB,-1.79992075635962e+02°)
1.64437172321491e+00	(-5.73327115034559e+00dB,-1.79992057368417e+02°)
1.64816239152549e+00	(-5.73327114986947e+00dB,-1.79992039058760e+02°)
1.65196179822900e+00	(-5.73327114939114e+00dB,-1.79992020706896e+02°)
1.65576996346951e+00	(-5.73327114891061e+00dB,-1.79992002312726e+02°)
1.65958690743754e+00	(-5.73327114842786e+00dB,-1.79991983876153e+02°)
1.66341265037015e+00	(-5.73327114794288e+00dB,-1.79991965397079e+02°)
1.66724721255104e+00	(-5.73327114745566e+00dB,-1.79991946875407e+02°)
1.67109061431069e+00	(-5.73327114696619e+00dB,-1.79991928311038e+02°)
1.67494287602642e+00	(-5.73327114647446e+00dB,-1.79991909703873e+02°)
1.67880401812254e+00	(-5.73327114598047e+00dB,-1.79991891053815e+02°)
1.68267406107045e+00	(-5.73327114548419e+00dB,-1.79991872360764e+02°)
1.68655302538872e+00	(-5.73327114498562e+00dB,-1.79991853624621e+02°)
1.69044093164324e+00	(-5.73327114448476e+00dB,-1.79991834845286e+02°)
1.69433780044731e+00	(-5.73327114398157e+00dB,-1.79991816022661e+02°)
1.69824365246172e+00	(-5.73327114347607e+00dB,-1.79991797156645e+02°)
1.70215850839493e+00	(-5.73327114296824e+00dB,-1.79991778247139e+02°)
1.70608238900310e+00	(-5.73327114245806e+00dB,-1.79991759294042e+02°)
1.71001531509027e+00	(-5.73327114194552e+00dB,-1.79991740297253e+02°)
1.71395730750840e+00	(-5.73327114143062e+00dB,-1.79991721256672e+02°)
1.71790838715757e+00	(-5.73327114091334e+00dB,-1.79991702172198e+02°)
1.72186857498599e+00	(-5.73327114039367e+00dB,-1.79991683043730e+02°)
1.72583789199018e+00	(-5.73327113987161e+00dB,-1.79991663871166e+02°)
1.72981635921508e+00	(-5.73327113934714e+00dB,-1.79991644654404e+02°)
1.73380399775412e+00	(-5.73327113882024e+00dB,-1.79991625393344e+02°)
1.73780082874935e+00	(-5.73327113829092e+00dB,-1.79991606087882e+02°)
