Freq.	V(out_preamp)
1.33045441797808e+00	(-5.74727828507050e+00dB,-1.79993579072982e+02°)
1.33352143216332e+00	(-5.74727828475885e+00dB,-1.79993564271217e+02°)
1.33659551654643e+00	(-5.74727828444576e+00dB,-1.79993549435330e+02°)
1.33967668742593e+00	(-5.74727828413122e+00dB,-1.79993534565243e+02°)
1.34276496113786e+00	(-5.74727828381523e+00dB,-1.79993519660877e+02°)
1.34586035405594e+00	(-5.74727828349778e+00dB,-1.79993504722152e+02°)
1.34896288259164e+00	(-5.74727828317887e+00dB,-1.79993489748991e+02°)
1.35207256319427e+00	(-5.74727828285849e+00dB,-1.79993474741312e+02°)
1.35518941235103e+00	(-5.74727828253663e+00dB,-1.79993459699038e+02°)
1.35831344658715e+00	(-5.74727828221328e+00dB,-1.79993444622087e+02°)
1.36144468246594e+00	(-5.74727828188844e+00dB,-1.79993429510380e+02°)
1.36458313658892e+00	(-5.74727828156210e+00dB,-1.79993414363838e+02°)
1.36772882559584e+00	(-5.74727828123425e+00dB,-1.79993399182379e+02°)
1.37088176616484e+00	(-5.74727828090489e+00dB,-1.79993383965923e+02°)
1.37404197501251e+00	(-5.74727828057401e+00dB,-1.79993368714389e+02°)
1.37720946889394e+00	(-5.74727828024160e+00dB,-1.79993353427697e+02°)
1.38038426460288e+00	(-5.74727827990766e+00dB,-1.79993338105766e+02°)
1.38356637897177e+00	(-5.74727827957218e+00dB,-1.79993322748514e+02°)
1.38675582887188e+00	(-5.74727827923515e+00dB,-1.79993307355860e+02°)
1.38995263121334e+00	(-5.74727827889656e+00dB,-1.79993291927722e+02°)
1.39315680294529e+00	(-5.74727827855641e+00dB,-1.79993276464018e+02°)
1.39636836105593e+00	(-5.74727827821469e+00dB,-1.79993260964667e+02°)
1.39958732257261e+00	(-5.74727827787139e+00dB,-1.79993245429587e+02°)
1.40281370456195e+00	(-5.74727827752651e+00dB,-1.79993229858694e+02°)
1.40604752412990e+00	(-5.74727827718004e+00dB,-1.79993214251907e+02°)
1.40928879842186e+00	(-5.74727827683196e+00dB,-1.79993198609142e+02°)
1.41253754462274e+00	(-5.74727827648228e+00dB,-1.79993182930317e+02°)
1.41579377995707e+00	(-5.74727827613099e+00dB,-1.79993167215349e+02°)
1.41905752168908e+00	(-5.74727827577807e+00dB,-1.79993151464154e+02°)
1.42232878712281e+00	(-5.74727827542353e+00dB,-1.79993135676648e+02°)
1.42560759360218e+00	(-5.74727827506735e+00dB,-1.79993119852749e+02°)
1.42889395851109e+00	(-5.74727827470952e+00dB,-1.79993103992372e+02°)
1.43218789927353e+00	(-5.74727827435005e+00dB,-1.79993088095432e+02°)
1.43548943335364e+00	(-5.74727827398891e+00dB,-1.79993072161847e+02°)
1.43879857825583e+00	(-5.74727827362611e+00dB,-1.79993056191531e+02°)
1.44211535152486e+00	(-5.74727827326163e+00dB,-1.79993040184399e+02°)
1.44543977074592e+00	(-5.74727827289547e+00dB,-1.79993024140368e+02°)
1.44877185354475e+00	(-5.74727827252762e+00dB,-1.79993008059351e+02°)
1.45211161758773e+00	(-5.74727827215808e+00dB,-1.79992991941263e+02°)
1.45545908058195e+00	(-5.74727827178682e+00dB,-1.79992975786020e+02°)
1.45881426027534e+00	(-5.74727827141385e+00dB,-1.79992959593534e+02°)
1.46217717445671e+00	(-5.74727827103916e+00dB,-1.79992943363721e+02°)
1.46554784095590e+00	(-5.74727827066274e+00dB,-1.79992927096495e+02°)
1.46892627764385e+00	(-5.74727827028459e+00dB,-1.79992910791769e+02°)
1.47231250243271e+00	(-5.74727826990469e+00dB,-1.79992894449456e+02°)
1.47570653327588e+00	(-5.74727826952303e+00dB,-1.79992878069471e+02°)
1.47910838816819e+00	(-5.74727826913962e+00dB,-1.79992861651726e+02°)
1.48251808514594e+00	(-5.74727826875443e+00dB,-1.79992845196134e+02°)
1.48593564228699e+00	(-5.74727826836746e+00dB,-1.79992828702607e+02°)
1.48936107771090e+00	(-5.74727826797871e+00dB,-1.79992812171060e+02°)
1.49279440957898e+00	(-5.74727826758817e+00dB,-1.79992795601403e+02°)
1.49623565609442e+00	(-5.74727826719582e+00dB,-1.79992778993549e+02°)
1.49968483550236e+00	(-5.74727826680166e+00dB,-1.79992762347411e+02°)
1.50314196609001e+00	(-5.74727826640568e+00dB,-1.79992745662899e+02°)
1.50660706618673e+00	(-5.74727826600788e+00dB,-1.79992728939925e+02°)
