Frequency [Hz], Amplitude [dB], Phase [deg]
6733.366622162992, 42.192223, -210.567596
6786.308574165681, 41.902901, -211.376648
6839.6667890037525, 42.094643, -212.645737
6893.44453959674, 42.095665, -211.325104
6947.645124597893, 42.149292, -212.369415
7002.271868596577, 42.206249, -212.549042
7057.328122322137, 42.043957, -210.924805
7112.817262849455, 42.068176, -210.58667
7168.742693806118, 42.207748, -214.194061
7225.107845581137, 42.206299, -214.349579
7281.916175535423, 42.18343, -214.003235
7339.171168213804, 42.075191, -212.675537
7396.876335558788, 42.034603, -214.300262
7455.035217125997, 42.147255, -214.309631
7513.651380301233, 42.317421, -215.057098
7572.72842051935, 42.453926, -214.642822
7632.269961484744, 42.22831, -214.068665
7692.279655393649, 42.117676, -214.844086
7752.761183158179, 42.0681, -215.78476
7813.718254632057, 42.179688, -215.868332
7875.1546088382365, 42.204498, -215.378876
7937.074014198187, 42.216721, -215.762833
7999.480268763082, 42.347382, -217.452591
8062.377200446746, 42.326118, -216.886215
8125.768667260484, 42.187572, -215.869476
8189.658557549699, 42.158733, -215.74614
8254.050790232393, 42.18528, -217.099243
8318.949315039568, 42.036522, -214.858521
8384.358112757476, 42.13409, -216.815308
8450.281195471827, 42.132679, -217.020691
8516.722606813868, 42.08823, -216.013153
8583.68642220839, 42.114899, -216.958496
8651.17674912374, 42.145737, -217.382446
8719.19772732375, 42.128094, -217.692261
8787.75352912169, 42.174759, -219.310486
8856.848359636173, 42.189854, -219.394577
8926.486457049072, 42.230469, -217.778366
8996.672092865518, 42.136639, -216.828033
9067.409572175884, 42.06646, -218.469421
9138.70323391988, 42.088882, -217.911804
9210.557451152683, 42.222469, -217.651352
9282.976631313155, 42.140701, -219.007446
9355.965216494216, 42.140804, -218.683151
9429.5276837153, 42.20578, -218.848114
9503.66854519699, 42.101788, -219.858032
9578.39234863778, 42.193237, -218.946167
9653.703677493004, 42.169968, -220.01532
9729.607151256005, 42.205429, -220.905014
9806.107425741473, 42.336716, -220.231354
9883.209193371047, 42.25164, -221.702911
9960.917183461137, 42.198936, -222.366287
10039.236162512982, 42.11124, -222.505035
10118.170934505046, 42.024986, -222.079285
10197.726341187677, 42.05397, -220.1306
10277.907262380157, 42.205429, -221.32724
10358.718616269902, 42.26696, -219.865784
10440.165359714232, 42.120991, -221.395569
10522.252488544382, 41.956203, -221.419006
10604.98503787195, 41.987705, -220.274689
10688.368082397712, 41.989384, -220.605865
10772.406736722998, 42.207726, -221.303864
10857.106155663272, 42.180614, -224.139587
10942.47153456441, 42.026848, -222.960052
11028.50810962134, 41.981266, -221.709808
11115.221158199301, 42.022514, -220.710388
11202.615999157424, 42.173599, -222.01062
11290.697993175065, 41.984325, -223.643188
11379.47254308061, 41.918278, -222.543884
11468.945094182862, 42.12088, -221.549576
11559.121134605046, 42.027626, -223.586746
11650.006195621514, 41.866699, -222.095779
11741.605851996901, 41.871754, -222.332733
11833.925722328158, 41.956398, -223.718842
11926.971469389153, 41.707752, -223.131775
12020.7488004781, 41.917461, -222.354828
12115.263467767501, 41.980186, -223.18811
12210.521268657072, 41.735302, -223.227325
12306.528046129319, 41.922539, -223.886047
12403.289689107944, 41.635944, -223.99147
12500.812132819034, 41.801651, -223.365753
12599.101359155226, 42.003246, -224.205811
12698.16339704247, 41.575607, -223.874054
12798.004322809938, 41.78923, -221.481308
