Frequency [Hz], Amplitude [dB], Phase [deg]
8723.489454615628, 42.117485, -216.955048
8822.063544026183, 42.231949, -218.75206
8921.75150548918, 42.085987, -220.109497
9022.565925587493, 42.163704, -218.558289
9124.51953313052, 42.208908, -220.198181
9227.625200761178, 42.184734, -219.995392
9331.895946581339, 42.122887, -220.2146
9437.344935795347, 42.139854, -219.034515
9543.985482372404, 42.216286, -222.133408
9651.831050727475, 42.075378, -218.507233
9760.89525742135, 42.085335, -219.990067
9871.19187287987, 42.159454, -218.39328
9982.73482313255, 41.968246, -220.819305
10095.53819157095, 42.209702, -221.968918
10209.616220726704, 42.157455, -220.567932
10324.98331406996, 41.989788, -221.423615
10441.654037827766, 42.153038, -221.204285
10559.64312282339, 42.051582, -221.797791
10678.965466336052, 41.897961, -222.262054
10799.636133981996, 42.021137, -221.878632
10921.670361616616, 42.116913, -221.827881
11045.083557258087, 42.073444, -221.274994
11169.891303032815, 41.902081, -222.394989
11296.109357142886, 41.866684, -222.971222
11423.75365585565, 42.009335, -223.077454
11552.84031551575, 42.147018, -223.766464
11683.385634580147, 42.118114, -222.209381
11815.40609567576, 42.002522, -221.75708
11948.91836768073, 41.911682, -221.726624
12083.939307828961, 41.92601, -222.446106
12220.485963838455, 41.84898, -223.003387
12358.575576063806, 41.706696, -221.214294
12498.225579673017, 41.770554, -221.20665
12639.453606848809, 41.537621, -221.847855
12782.277489014772, 41.676769, -220.994476
12926.715259086954, 41.753155, -222.358826
13072.785153750468, 41.737, -221.340424
13220.50561576228, 41.726913, -223.909744
13369.89529627956, 41.734711, -225.036377
13520.97305721479, 41.557419, -223.019653
13673.757973617063, 41.45018, -221.508759
13828.269336080673, 41.576927, -221.826889
13984.526653180661, 41.672195, -221.608765
14142.549653935883, 41.509056, -222.060089
14302.358290300188, 41.310329, -220.626785
14463.97273968132, 41.521149, -219.421219
14627.413407488744, 41.572041, -223.083527
14792.7009297098, 41.247738, -222.512695
14959.856175515424, 41.611794, -222.118149
15128.900249894861, 41.294601, -223.493256
15299.854496320573, 41.406471, -221.238403
15472.740499442989, 41.196655, -224.233521
15647.580087815697, 41.273487, -221.007858
15824.395336651589, 41.12952, -222.384048
16003.208570610126, 41.406212, -219.491776
16184.042366615999, 40.953468, -221.376785
16366.919556709568, 41.118919, -222.424835
16551.863230929874, 41.272316, -219.991302
16738.896740229717, 41.063046, -221.488983
16928.043699424168, 41.192753, -219.706665
17119.327990172085, 41.181625, -217.609741
17312.77376399133, 41.10862, -219.775162
17508.405445308188, 40.825027, -216.423218
17706.247734541295, 40.88047, -218.594696
17906.32561122021, 41.009293, -215.780807
18108.664337139227, 41.220039, -221.379517
18313.289459547173, 41.279312, -219.57753
18520.226814372727, 41.094776, -215.397079
18729.502529486716, 41.389294, -216.09256
18941.14302800075, 41.323746, -215.835358
19155.1750316037, 41.29287, -215.118622
19371.625563935235, 41.077034, -216.344696
19590.521953998134, 41.108818, -214.931702
19811.89183960869, 41.155846, -215.214905
20035.763170886203, 41.17675, -214.060455
20262.164213782016, 41.129116, -212.290482
20491.123553648456, 41.150345, -214.697281
20722.670098847902, 41.216366, -211.996185
20956.833084402817, 41.176636, -213.612427
21193.64207568684, 41.231148, -213.081161
21433.126972157785, 41.157001, -212.98645
21675.31801113283, 41.219673, -211.996674
21920.24577160619, 41.106731, -214.816193
22167.941178109915, 41.233624, -213.214661
22418.435504618523, 41.225716, -211.85318
22671.76037849772, 41.276402, -211.896545
22927.947784497574, 41.178879, -210.645981
