Freq.	V(out_preamp)
1.62929603263970e+00	(1.99999044536547e+01dB,1.79999989731398e+02°)
1.63305194789432e+00	(1.99999044536547e+01dB,1.79999989707726e+02°)
1.63681652142779e+00	(1.99999044536547e+01dB,1.79999989684000e+02°)
1.64058977319952e+00	(1.99999044536547e+01dB,1.79999989660219e+02°)
1.64437172321491e+00	(1.99999044536547e+01dB,1.79999989636384e+02°)
1.64816239152549e+00	(1.99999044536547e+01dB,1.79999989612493e+02°)
1.65196179822900e+00	(1.99999044536547e+01dB,1.79999989588547e+02°)
1.65576996346951e+00	(1.99999044536547e+01dB,1.79999989564546e+02°)
1.65958690743754e+00	(1.99999044536547e+01dB,1.79999989540490e+02°)
1.66341265037015e+00	(1.99999044536547e+01dB,1.79999989516379e+02°)
1.66724721255104e+00	(1.99999044536547e+01dB,1.79999989492211e+02°)
1.67109061431069e+00	(1.99999044536547e+01dB,1.79999989467988e+02°)
1.67494287602642e+00	(1.99999044536547e+01dB,1.79999989443710e+02°)
1.67880401812254e+00	(1.99999044536547e+01dB,1.79999989419375e+02°)
1.68267406107045e+00	(1.99999044536547e+01dB,1.79999989394984e+02°)
1.68655302538872e+00	(1.99999044536547e+01dB,1.79999989370537e+02°)
1.69044093164324e+00	(1.99999044536547e+01dB,1.79999989346033e+02°)
1.69433780044731e+00	(1.99999044536547e+01dB,1.79999989321473e+02°)
1.69824365246172e+00	(1.99999044536547e+01dB,1.79999989296857e+02°)
1.70215850839493e+00	(1.99999044536547e+01dB,1.79999989272184e+02°)
1.70608238900310e+00	(1.99999044536547e+01dB,1.79999989247453e+02°)
1.71001531509027e+00	(1.99999044536547e+01dB,1.79999989222666e+02°)
1.71395730750840e+00	(1.99999044536547e+01dB,1.79999989197822e+02°)
1.71790838715757e+00	(1.99999044536547e+01dB,1.79999989172920e+02°)
1.72186857498599e+00	(1.99999044536547e+01dB,1.79999989147961e+02°)
1.72583789199018e+00	(1.99999044536547e+01dB,1.79999989122945e+02°)
1.72981635921508e+00	(1.99999044536547e+01dB,1.79999989097871e+02°)
1.73380399775412e+00	(1.99999044536547e+01dB,1.79999989072739e+02°)
1.73780082874935e+00	(1.99999044536547e+01dB,1.79999989047549e+02°)
1.74180687339159e+00	(1.99999044536547e+01dB,1.79999989022301e+02°)
1.74582215292048e+00	(1.99999044536547e+01dB,1.79999988996995e+02°)
1.74984668862464e+00	(1.99999044536547e+01dB,1.79999988971630e+02°)
1.75388050184174e+00	(1.99999044536547e+01dB,1.79999988946207e+02°)
1.75792361395867e+00	(1.99999044536547e+01dB,1.79999988920725e+02°)
1.76197604641161e+00	(1.99999044536547e+01dB,1.79999988895185e+02°)
1.76603782068614e+00	(1.99999044536547e+01dB,1.79999988869586e+02°)
1.77010895831740e+00	(1.99999044536547e+01dB,1.79999988843927e+02°)
1.77418948089014e+00	(1.99999044536547e+01dB,1.79999988818210e+02°)
1.77827941003890e+00	(1.99999044536547e+01dB,1.79999988792433e+02°)
1.78237876744807e+00	(1.99999044536547e+01dB,1.79999988766597e+02°)
1.78648757485203e+00	(1.99999044536547e+01dB,1.79999988740702e+02°)
1.79060585403527e+00	(1.99999044536547e+01dB,1.79999988714746e+02°)
1.79473362683250e+00	(1.99999044536547e+01dB,1.79999988688731e+02°)
1.79887091512876e+00	(1.99999044536547e+01dB,1.79999988662656e+02°)
1.80301774085955e+00	(1.99999044536547e+01dB,1.79999988636521e+02°)
1.80717412601090e+00	(1.99999044536547e+01dB,1.79999988610325e+02°)
1.81134009261958e+00	(1.99999044536547e+01dB,1.79999988584069e+02°)
1.81551566277311e+00	(1.99999044536547e+01dB,1.79999988557753e+02°)
1.81970085860996e+00	(1.99999044536547e+01dB,1.79999988531376e+02°)
1.82389570231961e+00	(1.99999044536547e+01dB,1.79999988504938e+02°)
1.82810021614272e+00	(1.99999044536547e+01dB,1.79999988478439e+02°)
1.83231442237119e+00	(1.99999044536547e+01dB,1.79999988451879e+02°)
1.83653834334832e+00	(1.99999044536547e+01dB,1.79999988425258e+02°)
1.84077200146893e+00	(1.99999044536547e+01dB,1.79999988398575e+02°)
