Frequency [Hz], Amplitude [dB], Phase [deg]
320644.869739479, 32.415985, -159.59259
321646.8537074148, 32.44051, -163.554367
322648.8376753507, 32.433224, -161.808273
323650.82164328656, 32.52858, -159.133865
324652.80561122246, 32.579884, -163.786194
325654.7895791583, 32.486336, -160.841476
326656.7735470942, 32.566528, -159.332916
327658.75751503004, 32.700497, -164.411911
328660.74148296594, 32.681236, -166.708374
329662.7254509018, 32.412781, -162.227448
330664.7094188377, 32.534657, -164.236862
331666.6933867736, 32.404465, -163.801025
332668.6773547094, 32.645493, -162.974609
333670.6613226453, 32.434361, -163.277924
334672.64529058116, 32.490219, -163.352478
335674.62925851706, 32.606346, -163.307556
336676.6132264529, 32.426796, -163.053955
337678.5971943888, 32.55798, 192.105972
338680.58116232464, 32.710693, -165.923523
339682.56513026054, 32.738815, -164.276443
340684.5490981964, 32.610981, -163.438034
341686.5330661323, 32.669701, -163.810486
342688.5170340681, 32.623196, -164.190109
343690.501002004, 32.531055, -166.45134
344692.48496993986, 32.642052, -165.856689
345694.46893787576, 32.724976, -163.343216
346696.4529058116, 32.68718, -162.832642
347698.4368737475, 32.658119, -163.638794
348700.4208416834, 32.651649, -166.172318
349702.40480961924, 32.734322, -160.744888
350704.38877755514, 32.678955, -163.410324
351706.372745491, 32.603363, -165.574249
352708.3567134269, 32.629646, -163.985825
353710.3406813627, 32.622089, -163.721695
354712.3246492986, 32.809856, -163.72554
355714.30861723446, 32.574108, -162.855179
356716.29258517036, 32.586315, -165.976288
357718.2765531062, 32.557892, -164.833847
358720.2605210421, 32.620453, -161.728058
359722.24448897794, 32.62664, -162.705521
360724.22845691384, 32.682938, -163.710281
361726.2124248497, 32.475037, -162.742355
362728.1963927856, 32.570984, -165.561813
363730.1803607214, 32.628819, -164.998337
364732.1643286573, 32.637684, -164.701065
365734.14829659316, 32.562771, -165.042358
366736.13226452906, 32.545235, -163.908981
367738.11623246496, 32.532051, -164.451721
368740.1002004008, 32.625343, -162.959152
369742.0841683367, 32.69978, -164.321289
370744.06813627254, 32.770699, -164.507645
371746.05210420844, 32.737038, -165.461197
372748.0360721443, 32.817509, -162.882904
373750.0200400802, 32.878609, -162.940994
374752.004008016, 32.763733, -164.524185
375753.9879759519, 32.913631, -164.210373
376755.97194388777, 32.9949, -163.557495
377757.95591182366, 32.904869, -164.140991
378759.9398797595, 32.871189, -164.19458
379761.9238476954, 32.909828, -164.217606
380763.90781563125, 32.907776, -164.638672
381765.89178356715, 32.881775, -163.258026
382767.875751503, 32.78767, -163.7332
383769.8597194389, 32.850506, -163.859253
384771.8436873747, 32.719288, -164.341232
385773.8276553106, 32.799957, -164.208176
386775.8116232465, 32.838413, -162.708038
387777.79559118237, 32.756264, -164.311554
388779.77955911827, 32.697449, -165.243271
389781.7635270541, 32.823273, -164.019928
390783.74749499, 32.824501, -166.53064
391785.73146292585, 32.785652, -163.998932
392787.71543086175, 32.73999, -165.582611
393789.6993987976, 32.845802, -164.313995
394791.6833667335, 32.802341, 193.13562
395793.6673346693, 32.835941, -162.464127
396795.6513026052, 32.834023, -163.34848
397797.63527054107, 32.856316, -163.157242
398799.61923847697, 32.884933, -164.08786
399801.6032064128, 32.861889, -166.034637
400803.5871743487, 32.889046, -163.510193
401805.57114228455, 32.806938, -163.989044
402807.55511022045, 32.863125, -164.228516
403809.53907815635, 32.797932, -164.152863
404811.5230460922, 32.907047, -164.106277
405813.5070140281, 32.909042, -163.356903
406815.4909819639, 32.801697, -163.968948
407817.4749498998, 33.015133, 192.05777
408819.45891783567, 32.973083, -163.888519
409821.44288577157, 32.962391, -164.424362
410823.4268537074, 32.963989, -164.284103
411825.4108216433, 32.884201, -164.972168
412827.39478957915, 32.872356, -164.246323
413829.37875751505, 32.97155, -163.992584
414831.3627254509, 32.812298, 191.647858
415833.3466933868, 32.91032, -163.899139
416835.33066132263, 32.951195, -163.3255
417837.31462925853, 32.937359, -164.327057
418839.29859719437, 32.896915, -163.560394
419841.28256513027, 32.905407, 193.52829
420843.2665330661, 33.00573, -163.680069
421845.250501002, 32.833282, -165.054565
422847.2344689379, 32.907188, -164.461655
423849.21843687375, 32.931225, -165.035736
424851.20240480965, 32.98983, -161.361847
425853.1863727455, 32.920475, 193.64415
426855.1703406814, 32.957317, -164.111725
427857.15430861723, 32.929424, -163.142792
428859.13827655313, 33.029682, -163.600174
429861.122244489, 33.072674, -161.313644
430863.1062124249, 33.001778, -163.767441
431865.0901803607, 32.97731, -161.950012
432867.0741482966, 33.107658, -163.706375
433869.05811623245, 33.107117, -164.458923
434871.04208416835, 32.86467, -162.544952
435873.0260521042, 33.047478, -163.864166
436875.0100200401, 33.005402, -164.095062
437876.99398797593, 33.193295, -162.490234
438878.97795591183, 33.176525, -163.905075
439880.96192384773, 33.228672, -164.48645
440882.9458917836, 33.229931, -163.354996
441884.9298597195, 33.18457, 193.272369
442886.9138276553, 33.377918, -163.996964
443888.8977955912, 33.252563, -164.133347
444890.88176352705, 33.178612, -164.302567
445892.86573146295, 33.281891, -164.204529
446894.8496993988, 33.289783, -161.231918
447896.8336673347, 33.240726, -165.188049
448898.81763527053, 33.049046, -164.39949
449900.80160320643, 33.171261, -164.409058
450902.7855711423, 33.048462, -162.406799
451904.7695390782, 33.222404, -164.071625
452906.753507014, 33.018372, -164.793488
453908.7374749499, 33.177727, 190.31308
454910.72144288576, 33.136726, -164.980682
455912.70541082165, 33.01762, -164.207169
456914.6893787575, 33.042461, -161.942642
457916.6733466934, 33.058125, -165.3134
458918.6573146293, 32.894424, -165.182312
459920.64128256514, 32.928284, -160.90477
460922.62525050103, 33.023476, -164.861481
461924.6092184369, 32.895775, 192.187607
462926.5931863728, 32.868256, -164.300781
463928.5771543086, 32.843979, -162.631775
464930.5611222445, 32.728912, 193.727036
465932.54509018036, 32.860748, -164.712341
466934.52905811626, 32.637558, -164.932434
467936.5130260521, 32.739967, -164.390747
468938.496993988, 32.809128, 191.881348
469940.48096192384, 32.81443, -164.595612
470942.46492985974, 33.001015, -165.121567
471944.4488977956, 32.898457, 192.918304
472946.4328657315, 32.993607, -165.079163
473948.4168336673, 33.13023, -162.918671
474950.4008016032, 32.991028, -164.529175
475952.38476953906, 32.990265, -164.526031
476954.36873747496, 33.084831, -162.45488
477956.35270541086, 33.157516, -165.45105
478958.3366733467, 33.222126, 191.852554
479960.3206412826, 33.053314, -164.565338
480962.30460921844, 33.27256, -163.583389
481964.28857715434, 33.199291, -165.749268
482966.2725450902, 33.109268, -164.55719
483968.2565130261, 33.260391, 192.176193
484970.2404809619, 33.022671, 193.772324
485972.2244488978, 33.122253, -166.141373
486974.20841683366, 33.365398, 192.688644
487976.19238476956, 33.154099, 193.45105
488978.1763527054, 33.290573, -166.363998
489980.1603206413, 33.202637, -166.39212
490982.14428857714, 33.299793, -166.399078
491984.12825651304, 33.349842, 192.905594
492986.1122244489, 33.296486, -160.512115
493988.0961923848, 33.355789, -165.185852
494990.0801603207, 33.323463, -165.88089
495992.0641282565, 33.273533, -164.823807
496994.0480961924, 33.253685, -165.296417
497996.03206412826, 33.249725, 192.055664
498998.01603206416, 33.38517, -164.683228
500000, 33.416813, -165.03363
