time	V(out_fs)
1.374972609917592e-08	4.649134e-01
1.376344495784309e-08	4.657635e-01
1.377716381651027e-08	4.666135e-01
1.379088267517744e-08	4.674636e-01
1.380460153384462e-08	4.683137e-01
1.383261087028994e-08	4.700492e-01
1.384261420473474e-08	4.706691e-01
1.385261753917954e-08	4.712889e-01
1.386262087362434e-08	4.719088e-01
1.387262420806914e-08	4.725286e-01
1.388262754251394e-08	4.731485e-01
1.389263087695874e-08	4.737683e-01
1.390263421140353e-08	4.743882e-01
1.390463487829276e-08	4.745122e-01
1.391663887962813e-08	4.752560e-01
1.394407659700590e-08	4.769563e-01
1.397151431438367e-08	4.786566e-01
1.399895203176145e-08	4.803569e-01
1.402638974913922e-08	4.820573e-01
1.405382746651699e-08	4.837577e-01
1.408126518389476e-08	4.854582e-01
1.410870290127253e-08	4.871588e-01
1.412242175989606e-08	4.880091e-01
1.413614061851958e-08	4.888593e-01
1.414985947714311e-08	4.897096e-01
1.416357833576664e-08	4.905599e-01
1.417729719439016e-08	4.914102e-01
1.419101605301369e-08	4.922605e-01
1.420473491163722e-08	4.931108e-01
1.423274419675173e-08	4.948468e-01
1.425732382586342e-08	4.963703e-01
1.428190345497510e-08	4.978936e-01
1.430648308408678e-08	4.994169e-01
1.433106271319846e-08	5.009400e-01
1.435564234231015e-08	5.024631e-01
1.438022197142183e-08	5.039861e-01
1.440480160053351e-08	5.055090e-01
1.441679293045232e-08	5.062519e-01
1.444354880872733e-08	5.079094e-01
1.447030468700235e-08	5.095666e-01
1.449706056527736e-08	5.112235e-01
1.452381644355237e-08	5.128801e-01
1.455057232182738e-08	5.145363e-01
1.457732820010239e-08	5.161923e-01
1.460408407837740e-08	5.178480e-01
1.460486828942981e-08	5.178965e-01
1.460957355574427e-08	5.181876e-01
1.465767613560316e-08	5.211627e-01
1.470796304195220e-08	5.242719e-01
1.475824994830124e-08	5.273786e-01
1.480853685465028e-08	5.304826e-01
1.485882376099933e-08	5.335840e-01
1.490911066734837e-08	5.366829e-01
1.495939757369741e-08	5.397792e-01
1.500968448004646e-08	5.428728e-01
1.507332265678826e-08	5.467833e-01
1.513696083353006e-08	5.506864e-01
1.520059901027187e-08	5.545821e-01
1.526423718701367e-08	5.584705e-01
1.532787536375547e-08	5.623516e-01
1.539151354049728e-08	5.662252e-01
1.545515171723908e-08	5.700915e-01
1.547015671890630e-08	5.710014e-01
1.551774400990802e-08	5.738845e-01
1.556533130090974e-08	5.767617e-01
1.561291859191146e-08	5.796330e-01
1.566050588291318e-08	5.824985e-01
1.570809317391490e-08	5.853581e-01
1.575568046491662e-08	5.882119e-01
1.580326775591834e-08	5.910597e-01
1.580926975658614e-08	5.914184e-01
1.582298861525323e-08	5.922378e-01
1.583670747392031e-08	5.930567e-01
1.585042633258740e-08	5.938750e-01
1.586414519125449e-08	5.946928e-01
1.587786404992158e-08	5.955100e-01
1.589158290858866e-08	5.963267e-01
1.590530176725575e-08	5.971428e-01
1.591730576854562e-08	5.978563e-01
1.593159624648075e-08	5.987052e-01
1.594588672441588e-08	5.995535e-01
1.596017720235102e-08	6.004012e-01
1.597446768028615e-08	6.012482e-01
1.598875815822128e-08	6.020946e-01
1.600304863615641e-08	6.029403e-01
1.601733911409155e-08	6.037854e-01
1.603048635229262e-08	6.045623e-01
1.604363359049369e-08	6.053386e-01
