time	V(out_preamp)
9.455609013270060e-09	-2.335109e-02
9.473100558318065e-09	-2.341239e-02
9.490592103366072e-09	-2.347346e-02
9.508083648414077e-09	-2.353431e-02
9.525575193462084e-09	-2.359493e-02
9.551183731619677e-09	-2.368332e-02
9.553184394798267e-09	-2.369021e-02
9.557185721155447e-09	-2.370395e-02
9.565188373869808e-09	-2.373139e-02
9.577478175218194e-09	-2.377336e-02
9.589767976566579e-09	-2.381531e-02
9.602057777914965e-09	-2.385723e-02
9.614347579263351e-09	-2.389913e-02
9.626637380611736e-09	-2.394101e-02
9.638927181960122e-09	-2.398287e-02
9.651216983308507e-09	-2.402470e-02
9.653217739246415e-09	-2.403153e-02
9.657219251122231e-09	-2.404519e-02
9.670652580101951e-09	-2.409109e-02
9.684085909081672e-09	-2.413701e-02
9.697519238061393e-09	-2.418297e-02
9.710952567041116e-09	-2.422895e-02
9.724385896020837e-09	-2.427496e-02
9.737819225000557e-09	-2.432100e-02
9.751252553980278e-09	-2.436706e-02
9.753251083694563e-09	-2.437391e-02
9.765242261980272e-09	-2.441503e-02
9.777526577277586e-09	-2.445716e-02
9.789810892574902e-09	-2.449929e-02
9.802095207872216e-09	-2.454140e-02
9.814379523169532e-09	-2.458351e-02
9.826663838466846e-09	-2.462560e-02
9.838948153764162e-09	-2.466768e-02
9.851232469061476e-09	-2.470976e-02
9.853284428142715e-09	-2.471679e-02
9.857388346305192e-09	-2.473083e-02
9.882011855280054e-09	-2.481504e-02
9.892418316117126e-09	-2.485061e-02
9.902824776954199e-09	-2.488615e-02
9.913231237791270e-09	-2.492166e-02
9.923637698628343e-09	-2.495715e-02
9.934044159465414e-09	-2.499260e-02
9.944450620302487e-09	-2.502804e-02
9.954857081139559e-09	-2.506344e-02
9.977333572543448e-09	-2.513981e-02
9.999810063947337e-09	-2.521597e-02
1.002228655535123e-08	-2.529194e-02
1.004476304675511e-08	-2.536771e-02
1.006723953815900e-08	-2.544328e-02
1.008971602956289e-08	-2.551865e-02
1.011219252096678e-08	-2.559382e-02
1.014749144778156e-08	-2.571133e-02
1.015809098506246e-08	-2.574651e-02
1.017472127741821e-08	-2.580145e-02
1.019135156977395e-08	-2.585647e-02
1.020798186212969e-08	-2.591157e-02
1.022461215448544e-08	-2.596674e-02
1.024124244684118e-08	-2.602199e-02
1.025787273919693e-08	-2.607732e-02
1.027450303155267e-08	-2.613272e-02
1.032113049231071e-08	-2.628941e-02
1.036775795306875e-08	-2.644620e-02
1.041438541382678e-08	-2.660308e-02
1.046101287458482e-08	-2.676007e-02
1.050764033534286e-08	-2.691716e-02
1.055426779610090e-08	-2.707435e-02
1.060089525685893e-08	-2.723164e-02
1.060853617872624e-08	-2.725729e-02
1.075158386128709e-08	-2.773417e-02
1.075358452817606e-08	-2.774080e-02
1.076558852950985e-08	-2.778045e-02
1.077816414995476e-08	-2.782194e-02
1.079073977039967e-08	-2.786335e-02
1.080331539084458e-08	-2.790470e-02
1.081589101128948e-08	-2.794597e-02
1.082846663173439e-08	-2.798718e-02
1.084104225217930e-08	-2.802831e-02
1.085361787262421e-08	-2.806936e-02
1.086562187395769e-08	-2.810845e-02
1.089220216262942e-08	-2.819481e-02
