Freq.	V(out)
1.92309172891013e+05	(1.99979614905471e+01dB,1.78788156430921e+02°)
1.92752491319091e+05	(1.99979525242520e+01dB,1.78785363678930e+02°)
1.93196831701689e+05	(1.99979435165889e+01dB,1.78782564494773e+02°)
1.93642196394658e+05	(1.99979344673672e+01dB,1.78779758863663e+02°)
1.94088587759275e+05	(1.99979253763952e+01dB,1.78776946770779e+02°)
1.94536008162263e+05	(1.99979162434803e+01dB,1.78774128201264e+02°)
1.94984459975801e+05	(1.99979070684292e+01dB,1.78771303140231e+02°)
1.95433945577536e+05	(1.99978978510474e+01dB,1.78768471572754e+02°)
1.95884467350596e+05	(1.99978885911399e+01dB,1.78765633483878e+02°)
1.96336027683602e+05	(1.99978792885104e+01dB,1.78762788858611e+02°)
1.96788628970681e+05	(1.99978699429620e+01dB,1.78759937681927e+02°)
1.97242273611482e+05	(1.99978605542968e+01dB,1.78757079938765e+02°)
1.97696964011183e+05	(1.99978511223159e+01dB,1.78754215614032e+02°)
1.98152702580507e+05	(1.99978416468195e+01dB,1.78751344692597e+02°)
1.98609491735734e+05	(1.99978321276071e+01dB,1.78748467159298e+02°)
1.99067333898716e+05	(1.99978225644770e+01dB,1.78745582998935e+02°)
1.99526231496885e+05	(1.99978129572268e+01dB,1.78742692196277e+02°)
1.99986186963271e+05	(1.99978033056528e+01dB,1.78739794736055e+02°)
2.00447202736513e+05	(1.99977936095508e+01dB,1.78736890602966e+02°)
2.00909281260870e+05	(1.99977838687155e+01dB,1.78733979781672e+02°)
2.01372424986236e+05	(1.99977740829405e+01dB,1.78731062256801e+02°)
2.01836636368153e+05	(1.99977642520186e+01dB,1.78728138012945e+02°)
2.02301917867824e+05	(1.99977543757416e+01dB,1.78725207034661e+02°)
2.02768271952125e+05	(1.99977444539004e+01dB,1.78722269306470e+02°)
2.03235701093619e+05	(1.99977344862850e+01dB,1.78719324812859e+02°)
2.03704207770569e+05	(1.99977244726841e+01dB,1.78716373538278e+02°)
2.04173794466950e+05	(1.99977144128858e+01dB,1.78713415467143e+02°)
2.04644463672464e+05	(1.99977043066770e+01dB,1.78710450583833e+02°)
2.05116217882553e+05	(1.99976941538438e+01dB,1.78707478872693e+02°)
2.05589059598411e+05	(1.99976839541711e+01dB,1.78704500318030e+02°)
2.06062991326997e+05	(1.99976737074430e+01dB,1.78701514904117e+02°)
2.06538015581050e+05	(1.99976634134425e+01dB,1.78698522615190e+02°)
2.07014134879101e+05	(1.99976530719517e+01dB,1.78695523435451e+02°)
2.07491351745488e+05	(1.99976426827514e+01dB,1.78692517349063e+02°)
2.07969668710366e+05	(1.99976322456218e+01dB,1.78689504340154e+02°)
2.08449088309725e+05	(1.99976217603419e+01dB,1.78686484392817e+02°)
2.08929613085400e+05	(1.99976112266896e+01dB,1.78683457491107e+02°)
2.09411245585086e+05	(1.99976006444419e+01dB,1.78680423619043e+02°)
2.09893988362349e+05	(1.99975900133748e+01dB,1.78677382760609e+02°)
2.10377843976644e+05	(1.99975793332630e+01dB,1.78674334899750e+02°)
2.10862814993325e+05	(1.99975686038806e+01dB,1.78671280020376e+02°)
2.11348903983661e+05	(1.99975578250003e+01dB,1.78668218106360e+02°)
2.11836113524847e+05	(1.99975469963938e+01dB,1.78665149141537e+02°)
2.12324446200018e+05	(1.99975361178320e+01dB,1.78662073109707e+02°)
2.12813904598268e+05	(1.99975251890844e+01dB,1.78658989994633e+02°)
2.13304491314654e+05	(1.99975142099197e+01dB,1.78655899780038e+02°)
2.13796208950220e+05	(1.99975031801055e+01dB,1.78652802449611e+02°)
2.14289060112002e+05	(1.99974920994081e+01dB,1.78649697987003e+02°)
2.14783047413050e+05	(1.99974809675931e+01dB,1.78646586375827e+02°)
2.15278173472434e+05	(1.99974697844246e+01dB,1.78643467599658e+02°)
2.15774440915263e+05	(1.99974585496660e+01dB,1.78640341642036e+02°)
2.16271852372698e+05	(1.99974472630794e+01dB,1.78637208486462e+02°)
2.16770410481966e+05	(1.99974359244258e+01dB,1.78634068116398e+02°)
2.17270117886371e+05	(1.99974245334651e+01dB,1.78630920515270e+02°)
2.17770977235312e+05	(1.99974130899563e+01dB,1.78627765666466e+02°)
2.18272991184296e+05	(1.99974015936569e+01dB,1.78624603553335e+02°)
2.18776162394951e+05	(1.99973900443237e+01dB,1.78621434159190e+02°)
2.19280493535041e+05	(1.99973784417122e+01dB,1.78618257467305e+02°)
2.19785987278479e+05	(1.99973667855766e+01dB,1.78615073460914e+02°)
2.20292646305342e+05	(1.99973550756702e+01dB,1.78611882123216e+02°)
2.20800473301886e+05	(1.99973433117452e+01dB,1.78608683437369e+02°)
2.21309470960560e+05	(1.99973314935524e+01dB,1.78605477386494e+02°)
2.21819641980018e+05	(1.99973196208417e+01dB,1.78602263953673e+02°)
2.22330989065136e+05	(1.99973076933618e+01dB,1.78599043121950e+02°)
2.22843514927026e+05	(1.99972957108601e+01dB,1.78595814874329e+02°)
2.23357222283049e+05	(1.99972836730830e+01dB,1.78592579193777e+02°)
2.23872113856830e+05	(1.99972715797756e+01dB,1.78589336063221e+02°)
2.24388192378273e+05	(1.99972594306820e+01dB,1.78586085465550e+02°)
2.24905460583574e+05	(1.99972472255449e+01dB,1.78582827383612e+02°)
2.25423921215239e+05	(1.99972349641060e+01dB,1.78579561800219e+02°)
2.25943577022094e+05	(1.99972226461057e+01dB,1.78576288698140e+02°)
2.26464430759302e+05	(1.99972102712833e+01dB,1.78573008060109e+02°)
2.26986485188378e+05	(1.99971978393768e+01dB,1.78569719868816e+02°)
2.27509743077203e+05	(1.99971853501231e+01dB,1.78566424106916e+02°)
2.28034207200038e+05	(1.99971728032578e+01dB,1.78563120757022e+02°)
2.28559880337539e+05	(1.99971601985152e+01dB,1.78559809801707e+02°)
2.29086765276773e+05	(1.99971475356287e+01dB,1.78556491223506e+02°)
2.29614864811232e+05	(1.99971348143301e+01dB,1.78553165004912e+02°)
2.30144181740847e+05	(1.99971220343502e+01dB,1.78549831128381e+02°)
2.30674718872003e+05	(1.99971091954184e+01dB,1.78546489576327e+02°)
2.31206479017555e+05	(1.99970962972630e+01dB,1.78543140331124e+02°)
2.31739464996844e+05	(1.99970833396111e+01dB,1.78539783375106e+02°)
2.32273679635706e+05	(1.99970703221882e+01dB,1.78536418690568e+02°)
