time	V(input_bode)	V(out)	V(out_fs)	V(out_preamp)
3.151050350116706e-09	2.823026e-03	4.000000e-08	8.617902e-03	-6.223819e-03
3.160652473679309e-09	2.823833e-03	4.000000e-08	8.723930e-03	-6.265983e-03
3.173455305096114e-09	2.826120e-03	4.000000e-08	8.866587e-03	-6.322107e-03
3.201067022340780e-09	2.834224e-03	4.000000e-08	9.176837e-03	-6.442992e-03
3.213103348807119e-09	2.839311e-03	4.000000e-08	9.314435e-03	-6.495608e-03
3.229151784095571e-09	2.847794e-03	4.000000e-08	9.499591e-03	-6.565791e-03
3.251083694564856e-09	2.861541e-03	4.000000e-08	9.754500e-03	-6.661756e-03
3.304843099506367e-09	2.895676e-03	4.000000e-08	1.039611e-02	-6.897754e-03
3.329576698373992e-09	2.909535e-03	4.000000e-08	1.069846e-02	-7.006802e-03
3.354310297241617e-09	2.921879e-03	4.000000e-08	1.100531e-02	-7.115729e-03
3.379043896109242e-09	2.932708e-03	4.000000e-08	1.131667e-02	-7.224535e-03
3.403777494976868e-09	2.942022e-03	4.000000e-08	1.163255e-02	-7.333220e-03
3.428511093844493e-09	2.949821e-03	4.000000e-08	1.195293e-02	-7.441783e-03
3.453244692712118e-09	2.956105e-03	4.000000e-08	1.227782e-02	-7.550226e-03
3.477978291579743e-09	2.960874e-03	4.000000e-08	1.260722e-02	-7.658548e-03
3.510365195611602e-09	2.965404e-03	4.000000e-08	1.304443e-02	-7.799649e-03
3.587648803402809e-09	2.964468e-03	4.000000e-08	1.412308e-02	-8.135369e-03
3.664932411194016e-09	2.956967e-03	4.000000e-08	1.523973e-02	-8.462463e-03
3.742216018985223e-09	2.942901e-03	4.000000e-08	1.639440e-02	-8.780931e-03
3.819499626776430e-09	2.922269e-03	4.000000e-08	1.758707e-02	-9.090772e-03
3.896783234567637e-09	2.895072e-03	4.000000e-08	1.881775e-02	-9.391987e-03
3.974066842358843e-09	2.861310e-03	4.000000e-08	2.008644e-02	-9.684576e-03
4.051350450150050e-09	2.820983e-03	4.000000e-08	2.139313e-02	-9.968539e-03
4.063354451488283e-09	2.816811e-03	4.000000e-08	2.159858e-02	-1.001135e-02
4.079359786605926e-09	2.815108e-03	4.000000e-08	2.187371e-02	-1.006821e-02
4.101367122374125e-09	2.817705e-03	4.000000e-08	2.225333e-02	-1.014619e-02
